HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
1,1,2,1,2,2,4
3,1,10,1,2,1,2
2,1,10,7,17,4,0
8,2,1,14,5,1,20
3,1,0,2,1,1,12
1,20,1,2,10,2,2
1,12,13,1,26,3,1
3,1,5,2,4,0,3
21,1,0,4,2,0,13
7,1,2,2,1,0,2
2,12,11,1,20,2,2
1,6,21,4,25,1,1
1,1,4,3,3,1,1
8,1,2,3,0,2,11
9,0,2,2,1,1,2
2,11,0,1,22,2,2
3,3,5,1,4,1,6
2,0,2,9,2,7,11
5,2,2,2,0,3,7
5,1,1,6,6,0,2
1,1,0,3,13,2,0
2,1,1,1,14,2,1
2,1,1,1,1,4,2
1,7,1,9,1,4,13
12,1,5,8,1,1,5
1,2,4,1,13,1,1
1,1,11,1,22,1,1
2,0,4,2,1,4,2
0,1,1,7,4,9,0
7,11,2,12,11,1,3
1,1,8,3,17,2,4
2,1,13,2,1,1,2
2,1,1,1,0,0,0
1,6,2,1,7,2,12
5,1,5,2,24,1,11
7,8,21,2,5,2,2
1,7,7,1,2,0,0
0,4,3,1,1,1,1
0,2,2,1,7,2,7
7,1,1,6,37,6,5
12,1,2,4,29,3,0
1,9,2,2,2,2,1
1,5,8,2,2,1,2
0,2,3,0,2,2,1
13,1,1,5,6,6,1
14,1,1,13,2,4,2
2,14,2,2,1,2,2
0,4,12,1,1,1,1
0,3,1,6,9,0,1
6,0,0,8,31,6,7
2,2,2,3,13,2,1
2,8,7,2,2,1,0
1,7,9,0,1,1,2
1,1,1,1,0,0,2
7,1,2,9,18,0,1
10,2,1,17,9,4,2
3,2,2,3,4,2,1
1,11,0,1,2,1,3
1,2,3,1,10,1,5
3,1,2,0,3,0,11
2,1,3,9,1,1,4
2,3,13,5,2,1,3
0,1,4,2,1,1,1
1,6,5,1,4,1,2
2,4,3,9,17,0,4
6,2,2,20,4,3,15
1,1,1,4,1,8,4
1,1,4,1,0,1,2
2,2,3,0,5,0,1
1,1,1,2,45,2,5
8,0,0,13,5,1,3
7,2,1,11,1,9,1
1,5,5,1,6,1,3
2,11,7,1,15,1,1
0,2,2,1,11,1,2
3,1,0,1,3,1,9
11,1,5,3,0,4,7
1,6,9,1,4,2,1
1,12,9,1,17,0,2
0,3,5,10,16,1,0
3,1,2,8,2,0,2
13,2,3,1,1,10,1
3,4,0,1,9,1,1
2,14,1,0,33,1,0
1,2,10,0,14,1,4
4,1,1,11,3,1,4
12,1,0,1,1,2,6
1,4,3,1,2,3,1
0,12,1,5,27,1,0
3,2,1,4,6,1,0
9,1,0,16,2,2,0
16,3,2,8,2,2,2
3,0,2,3,8,5,8
1,16,5,1,23,2,5
2,2,5,4,6,2,1
7,1,1,8,0,0,1
16,4,2,4,0,1,6
2,3,2,1,20,8,3
1,2,1,2,33,4,0
0,1,5,2,6,2,2
