HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
2,127,2,1,128,2,2
99,158,46,122,109,2,2
69,6,210,159,3,126,60
4,1,34,4,3,55,55
1,113,1,2,135,3,4
18,53,36,129,115,2,1
105,4,214,159,2,122,11
10,1,27,6,2,84,78
1,1,1,1,132,4,14
17,234,34,126,121,2,1
104,71,219,139,3,69,3
14,3,18,4,2,225,59
1,2,0,3,128,10,55
25,364,48,125,123,2,3
103,179,198,171,3,59,0
7,5,29,5,1,157,10
0,13,1,2,118,10,82
2,246,31,121,126,2,15
114,53,238,143,3,55,0
46,3,20,4,1,155,2
3,1,1,2,142,13,61
0,102,58,139,105,1,51
71,129,242,157,2,60,4
97,3,18,5,1,179,1
11,0,0,1,131,9,13
1,137,38,132,123,1,85
18,71,218,145,4,6,16
104,5,27,6,2,154,2
6,0,1,0,131,44,1
2,251,48,131,121,2,56
0,59,207,171,4,1,55
71,3,22,6,1,66,5
57,3,2,2,116,158,2
